"Names","BreweryType","Address","lon","lat"
"Jailbreak Brewing Company","Micro","9445 Washington Blvd N Ste F, Laurel, MD 20723-1380",-76.8231018,39.1241472
"Johanssons Dining House","Brewpub","4 W Main St, Westminster, MD 21157-4816",-76.9956983,39.5755009
"Key Brewing Co","Micro","2500 Grays Rd., Dundalk, MD 21222",-76.4627749,39.244513
"Manor Hill Brewing","Micro","4411 Manor Ln, Ellicott City, MD 21042-6111",-76.886718,39.250841
"Milkhouse Brewery at Stillpoint Farm","Micro","8253 Dollyhyde Rd, Mount Airy, MD 21771-9404",-77.225512,39.460262
"Oliver Brewing Company","Micro","4216 Shannon Dr., Baltimore, MD 21213",-76.553206,39.314814
"Peabody Heights Brewery","Micro","401 E 30th St, Baltimore, MD 21218-3935",-76.610422,39.324338
"Pratt Street Ale House","Brewpub","206 W Pratt St, Baltimore, MD 21201-2426",-76.6181,39.2866038
"Red Shedman Farm Brewery","Micro","13601 Glissans Mill Rd, Mount Airy, MD 21771-8507",-77.1933257,39.4226921
"Ruhlman Brewery/Our Ales","Micro","2280 Harvey Gummel Rd, Hampstead, MD 21074-1033",-76.910219,39.63586
"Union Craft Brewing","Micro","1700 Union Ave Ste D, Baltimore, MD 21211-1499",-76.6434592,39.3323092
"Waverly Brewing Company","Micro","1625C Union Ave, Baltimore, MD 21211-1918",-76.641318,39.331652
"White Marsh Brewing Co/Red Brick Station","Micro","8149 Honeygo Blvd Ste A, Baltimore, MD 21236-8202",-76.464307,39.3714276
