ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01107,44140,1.000000000,1.000000000,1.000000000,1.000000000
01108,44140,1.000000000,1.000000000,1.000000000,1.000000000
01109,44140,1.000000000,1.000000000,1.000000000,1.000000000
01111,44140,0.000000000,1.000000000,0.000000000,1.000000000
01115,44140,0.000000000,1.000000000,1.000000000,1.000000000
01116,44140,1.000000000,1.000000000,1.000000000,1.000000000
01118,44140,1.000000000,1.000000000,1.000000000,1.000000000
01119,44140,1.000000000,1.000000000,1.000000000,1.000000000
01128,44140,1.000000000,1.000000000,1.000000000,1.000000000
01129,44140,1.000000000,1.000000000,1.000000000,1.000000000
01138,44140,1.000000000,1.000000000,1.000000000,1.000000000
01139,44140,1.000000000,1.000000000,1.000000000,1.000000000
01144,44140,0.000000000,1.000000000,1.000000000,1.000000000
01151,44140,1.000000000,1.000000000,1.000000000,1.000000000
01152,44140,0.000000000,1.000000000,1.000000000,1.000000000
01199,44140,0.000000000,1.000000000,0.000000000,1.000000000
01201,38340,1.000000000,1.000000000,1.000000000,1.000000000
01202,38340,1.000000000,1.000000000,1.000000000,1.000000000
01220,38340,1.000000000,1.000000000,1.000000000,1.000000000
01222,38340,1.000000000,1.000000000,1.000000000,1.000000000
01223,38340,0.998506348,1.000000000,1.000000000,0.998538012
01223,44140,0.001493652,0.000000000,0.000000000,0.001461988
01224,38340,1.000000000,0.000000000,1.000000000,1.000000000
01225,38340,1.000000000,1.000000000,1.000000000,1.000000000
01226,38340,1.000000000,1.000000000,1.000000000,1.000000000
01227,38340,1.000000000,1.000000000,1.000000000,1.000000000
01229,38340,0.000000000,1.000000000,0.000000000,1.000000000
01230,38340,1.000000000,1.000000000,1.000000000,1.000000000
01235,38340,0.964323190,0.971428571,1.000000000,0.965380811
01235,44140,0.035676810,0.028571429,0.000000000,0.034619189
01236,38340,1.000000000,1.000000000,1.000000000,1.000000000
01237,38340,1.000000000,1.000000000,1.000000000,1.000000000
01238,38340,1.000000000,1.000000000,1.000000000,1.000000000
01240,38340,1.000000000,1.000000000,1.000000000,1.000000000
01242,38340,0.000000000,0.000000000,1.000000000,1.000000000
01243,44140,0.000000000,1.000000000,0.000000000,1.000000000
01244,38340,0.000000000,1.000000000,0.000000000,1.000000000
01245,38340,1.000000000,1.000000000,0.000000000,1.000000000
01247,24640,0.000217226,0.000000000,0.000000000,0.000188324
01247,38340,0.999782774,1.000000000,1.000000000,0.999811676
01252,38340,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,1.000000000,1.000000000,0.000000000,1.000000000
01256,38340,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,1.000000000,1.000000000,1.000000000,1.000000000
01258,38340,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,1.000000000,1.000000000,1.000000000,1.000000000
01260,38340,1.000000000,0.000000000,1.000000000,1.000000000
01262,38340,1.000000000,1.000000000,1.000000000,1.000000000
01263,38340,0.000000000,1.000000000,0.000000000,1.000000000
01264,38340,1.000000000,0.000000000,1.000000000,1.000000000
01266,38340,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,1.000000000,1.000000000,1.000000000,1.000000000
01270,38340,1.000000000,1.000000000,1.000000000,1.000000000
01301,24640,1.000000000,1.000000000,1.000000000,1.000000000
01302,24640,1.000000000,1.000000000,1.000000000,1.000000000
01330,24640,0.978851964,1.000000000,1.000000000,0.980113636
01330,44140,0.021148036,0.000000000,0.000000000,0.019886364
01331,24640,0.000971817,0.005102041,0.000000000,0.001184308
01331,49340,0.999028183,0.994897959,1.000000000,0.998815692
01337,24640,1.000000000,1.000000000,1.000000000,1.000000000
01338,24640,1.000000000,1.000000000,1.000000000,1.000000000
01339,24640,1.000000000,1.000000000,1.000000000,1.000000000
01340,24640,1.000000000,1.000000000,1.000000000,1.000000000
01341,24640,1.000000000,1.000000000,1.000000000,1.000000000
01342,24640,1.000000000,1.000000000,1.000000000,1.000000000
01343,38340,1.000000000,1.000000000,1.000000000,1.000000000
01344,24640,1.000000000,1.000000000,1.000000000,1.000000000
01346,24640,1.000000000,0.000000000,1.000000000,1.000000000
01347,24640,1.000000000,0.000000000,1.000000000,1.000000000
01349,24640,1.000000000,1.000000000,1.000000000,1.000000000
01350,24640,1.000000000,1.000000000,0.000000000,1.000000000
01351,24640,1.000000000,1.000000000,1.000000000,1.000000000
01354,24640,1.000000000,1.000000000,1.000000000,1.000000000
01355,24640,1.000000000,1.000000000,1.000000000,1.000000000
01360,24640,1.000000000,1.000000000,1.000000000,1.000000000
01364,24640,0.998340708,0.994594595,1.000000000,0.998058252
01364,49340,0.001659292,0.005405405,0.000000000,0.001941748
01366,49340,1.000000000,1.000000000,1.000000000,1.000000000
01367,24640,0.932038835,0.944444444,1.000000000,0.933534743
01367,38340,0.067961165,0.055555556,0.000000000,0.066465257
01368,49340,1.000000000,1.000000000,1.000000000,1.000000000
01370,24640,1.000000000,1.000000000,1.000000000,1.000000000
01373,24640,1.000000000,1.000000000,1.000000000,1.000000000
01375,24640,1.000000000,1.000000000,1.000000000,1.000000000
01376,24640,1.000000000,1.000000000,1.000000000,1.000000000
01378,24640,1.000000000,1.000000000,1.000000000,1.000000000
01379,24640,1.000000000,0.000000000,1.000000000,1.000000000
01380,24640,1.000000000,0.000000000,1.000000000,1.000000000
01420,49340,1.000000000,1.000000000,1.000000000,1.000000000
01430,49340,1.000000000,1.000000000,1.000000000,1.000000000
01431,15764,0.998191682,1.000000000,1.000000000,0.998268398
01431,49340,0.001808318,0.000000000,0.000000000,0.001731602
01432,15764,1.000000000,1.000000000,1.000000000,1.000000000
01434,15764,0.342391304,0.112280702,0.351351351,0.213438735
01434,49340,0.657608696,0.887719298,0.648648649,0.786561265
01436,49340,1.000000000,1.000000000,1.000000000,1.000000000
01438,49340,0.000000000,0.000000000,1.000000000,1.000000000
01440,49340,1.000000000,1.000000000,1.000000000,1.000000000
01441,49340,0.000000000,0.000000000,1.000000000,1.000000000
01450,15764,1.000000000,1.000000000,1.000000000,1.000000000
01451,15764,0.011477762,0.000000000,0.000000000,0.010220377
01451,49340,0.988522238,1.000000000,1.000000000,0.989779623
01452,49340,1.000000000,1.000000000,1.000000000,1.000000000
01453,49340,1.000000000,1.000000000,1.000000000,1.000000000
01460,15764,1.000000000,1.000000000,1.000000000,1.000000000
01462,15764,0.001393312,0.000000000,0.000000000,0.001300149
01462,49340,0.998606688,1.000000000,1.000000000,0.998699851
01463,15764,1.000000000,1.000000000,1.000000000,1.000000000
01464,15764,1.000000000,1.000000000,1.000000000,1.000000000
01467,49340,0.000000000,0.000000000,1.000000000,1.000000000
01468,49340,1.000000000,1.000000000,1.000000000,1.000000000
01469,15764,1.000000000,1.000000000,1.000000000,1.000000000
01472,15764,0.000000000,0.000000000,1.000000000,1.000000000
01473,49340,1.000000000,1.000000000,1.000000000,1.000000000
01474,15764,1.000000000,1.000000000,1.000000000,1.000000000
01475,49340,1.000000000,1.000000000,1.000000000,1.000000000
01501,49340,1.000000000,1.000000000,1.000000000,1.000000000
01503,49340,1.000000000,1.000000000,1.000000000,1.000000000
01504,14454,0.002421959,0.006802721,0.000000000,0.002503756
01504,49340,0.997578041,0.993197279,1.000000000,0.997496244
01505,49340,1.000000000,1.000000000,1.000000000,1.000000000
01506,49340,1.000000000,1.000000000,1.000000000,1.000000000
01507,49340,1.000000000,1.000000000,1.000000000,1.000000000
01508,49340,0.000000000,0.000000000,1.000000000,1.000000000
01509,49340,1.000000000,0.000000000,1.000000000,1.000000000
01510,49340,1.000000000,1.000000000,1.000000000,1.000000000
01515,49340,1.000000000,1.000000000,1.000000000,1.000000000
01516,49340,1.000000000,1.000000000,1.000000000,1.000000000
01518,49340,1.000000000,1.000000000,1.000000000,1.000000000
01519,49340,1.000000000,1.000000000,1.000000000,1.000000000
01520,49340,1.000000000,1.000000000,1.000000000,1.000000000
01521,44140,1.000000000,1.000000000,1.000000000,1.000000000
01522,49340,1.000000000,1.000000000,1.000000000,1.000000000
01523,49340,1.000000000,1.000000000,1.000000000,1.000000000
01524,49340,1.000000000,1.000000000,1.000000000,1.000000000
01525,49340,1.000000000,1.000000000,1.000000000,1.000000000
01526,49340,0.000000000,0.000000000,1.000000000,1.000000000
01527,49340,1.000000000,1.000000000,1.000000000,1.000000000
01529,49340,1.000000000,1.000000000,1.000000000,1.000000000
01531,49340,1.000000000,1.000000000,1.000000000,1.000000000
01532,15764,0.002595816,0.001106195,0.000000000,0.002353249
01532,49340,0.997404184,0.998893805,1.000000000,0.997646751
01534,49340,1.000000000,1.000000000,1.000000000,1.000000000
01535,49340,1.000000000,1.000000000,1.000000000,1.000000000
01536,49340,1.000000000,1.000000000,1.000000000,1.000000000
01537,49340,1.000000000,1.000000000,1.000000000,1.000000000
01538,49340,1.000000000,1.000000000,1.000000000,1.000000000
01540,49340,1.000000000,1.000000000,1.000000000,1.000000000
01541,49340,1.000000000,1.000000000,1.000000000,1.000000000
01542,49340,1.000000000,1.000000000,1.000000000,1.000000000
01543,49340,1.000000000,1.000000000,1.000000000,1.000000000
01545,49340,1.000000000,1.000000000,1.000000000,1.000000000
01546,49340,0.000000000,1.000000000,1.000000000,1.000000000
01550,49340,1.000000000,1.000000000,1.000000000,1.000000000
01560,49340,1.000000000,1.000000000,1.000000000,1.000000000
01561,49340,0.000000000,0.000000000,1.000000000,1.000000000
01562,49340,1.000000000,1.000000000,1.000000000,1.000000000
01564,49340,1.000000000,1.000000000,1.000000000,1.000000000
01566,49340,1.000000000,1.000000000,1.000000000,1.000000000
01568,49340,1.000000000,1.000000000,1.000000000,1.000000000
01569,49340,1.000000000,1.000000000,1.000000000,1.000000000
01570,49340,1.000000000,1.000000000,1.000000000,1.000000000
01571,49340,1.000000000,1.000000000,1.000000000,1.000000000
01581,49340,1.000000000,1.000000000,1.000000000,1.000000000
01583,49340,1.000000000,1.000000000,1.000000000,1.000000000
01585,49340,1.000000000,1.000000000,1.000000000,1.000000000
01586,49340,1.000000000,1.000000000,1.000000000,1.000000000
01588,49340,1.000000000,1.000000000,1.000000000,1.000000000
01590,49340,1.000000000,1.000000000,1.000000000,1.000000000
01601,49340,1.000000000,1.000000000,1.000000000,1.000000000
01602,49340,1.000000000,1.000000000,1.000000000,1.000000000
01603,49340,1.000000000,1.000000000,1.000000000,1.000000000
01604,49340,1.000000000,1.000000000,1.000000000,1.000000000
01605,49340,1.000000000,1.000000000,1.000000000,1.000000000
01606,49340,1.000000000,1.000000000,1.000000000,1.000000000
01607,49340,1.000000000,1.000000000,1.000000000,1.000000000
01608,49340,1.000000000,1.000000000,1.000000000,1.000000000
01609,49340,1.000000000,1.000000000,1.000000000,1.000000000
01610,49340,1.000000000,1.000000000,1.000000000,1.000000000
01611,49340,1.000000000,1.000000000,1.000000000,1.000000000
01612,49340,1.000000000,1.000000000,1.000000000,1.000000000
01613,49340,1.000000000,1.000000000,1.000000000,1.000000000
01614,49340,0.000000000,0.000000000,1.000000000,1.000000000
01653,49340,0.000000000,1.000000000,0.000000000,1.000000000
01655,49340,0.000000000,1.000000000,1.000000000,1.000000000
01701,15764,1.000000000,1.000000000,1.000000000,1.000000000
01702,15764,1.000000000,1.000000000,1.000000000,1.000000000
01703,15764,1.000000000,1.000000000,1.000000000,1.000000000
01704,15764,1.000000000,1.000000000,1.000000000,1.000000000
01718,15764,1.000000000,1.000000000,1.000000000,1.000000000
01719,15764,1.000000000,1.000000000,1.000000000,1.000000000
01720,15764,1.000000000,1.000000000,1.000000000,1.000000000
01721,15764,1.000000000,1.000000000,1.000000000,1.000000000
01730,15764,1.000000000,1.000000000,1.000000000,1.000000000
01731,15764,1.000000000,1.000000000,1.000000000,1.000000000
